Stocks To Exclude
ALBK
ANDHRABANK
CAPF
CGPOWER
GMRINFRA
HCC
IDFC
IDFCBANK
IFCI
INFIBEAM
IRB
JISLJALEQS
MFSL
MRPL
NATIONALUM
NBCC
NCC
OFSS
PCJEWELLER
PTC
RCOM
RNAVAL
NHPC
RPOWER
SHREECEM
SRF
SREINFRA
SOUTHBANK
SUZLON
SYNDIBANK
ADANIPOWER
TATAPOWER
ACC
